FeatureCount,RMSEByRating,RMSEByUser,nDCG,TopNnDCG
,0.89230871845,0.8134915354000001,0.9604440518499999,0.26242452915
1,0.9326451366500003,0.8602934673750001,0.958144146925,0.25266137087499996
10,0.8779292432499999,0.8060100936249999,0.96684706545,0.305520714325
15,0.8766755539,0.8041958284249999,0.9670332025000002,0.3074563834249999
20,0.881054966075,0.807958522225,0.9663408173250001,0.30472473077499995
25,0.8874289159,0.813895890925,0.9655719015499997,0.301526960475
30,0.8935513493749998,0.8192247216,0.9649411575,0.2984873667
40,0.9075131702,0.832238264425,0.9632539097749999,0.28926364305
5,0.88969557535,0.817489801475,0.9659842396750002,0.2959033523500002
50,0.9190640925250001,0.8440897176499998,0.9617723414749998,0.279522143775
